State (ST) / Union Territory (UT),Area (km2),Overall Crime
Andaman and Nicobar Islands,"8,249",13238
Andhra Pradesh,"1,62,975",567845
Arunachal Pradesh,"83,743",11140
Assam,"78,438",461321
Bihar,"94,163",957675
Chandigarh,114,20203
Chhattisgarh,"1,35,192",369502
Dadra and Nagar Haveli and Daman and Diu,603,1170
Delhi,"1,484",1373
Goa,"3,702",1040507
Gujarat,"1,96,024",15260
Haryana,"44,212",1594481
Himachal Pradesh,"55,673",725492
Jammu and Kashmir,"42,241(55,538)",74563
Jharkhand,"79,716",104916
Karnataka,"1,91,791",218351
Kerala,"38,863",690649
Ladakh,"59,146(166,698)",2326620
Lakshadweep,32,423
Madhya Pradesh,"3,08,252",1545584
Maharashtra,"3,07,713",1923736
Manipur,"22,327",15790
Meghalaya,"22,429",14913
Mizoram,"21,081",10769
Nagaland,"16,579",6897
Odisha,"1,55,707",436364
Puducherry,479,18362
Punjab,"50,362",271585
Rajasthan,"3,42,239",1051640
Sikkim,"7,096",3689
Tamil Nadu,"1,30,058",1842527
Telangana,"1,12,077",511582
Tripura,"10,491",20385
Uttar Pradesh,"2,40,928",2307842
Uttarakhand,"53,483",107918
West Bengal,"88,752",588000
India,"3,287,263 (3,166,414)",
