,Year on year crime rate,,,
State/UT,2016,2017,2018,2019
Andaman and Nicobar Islands,2491,3014,3699,4034
Andhra Pradesh,129389,148002,144703,145751
Arunachal Pradesh,2700,2746,2817,2877
Assam,107014,109952,120572,123783
Bihar,189696,236055,262815,269109
Chandigarh,4256,5462,5967,4518
Chhattisgarh,84192,90516,98233,96561
Dadra and Nagar Haveli,256,309,315,290
Daman and Diu,287,382,334,370
Delhi,216920,244714,262612,316261
Goa,3706,3943,3884,3727
Gujarat,435422,334799,393194,431066
Haryana,143111,224816,191229,166336
Himachal Pradesh,17249,17796,19594,19924
Jammu and Kashmir,26624,25608,27276,25408
Jharkhand,47817,52664,55664,62206
Karnataka,179479,184063,163416,163691
Kerala,707870,653500,512167,453083
Lakshadweep,50,114,77,182
Madhya Pradesh,365154,379682,405129,395619
Maharashtra,430866,467753,515674,509443
Manipur,4098,4250,3781,3661
Meghalaya,3582,3952,3482,3897
Mizoram,2800,2738,2351,2880
Nagaland,1908,1553,1775,1661
Odisha,103565,103866,107408,121525
Puducherry,4885,4799,4674,4004
Punjab,57739,70673,70318,72855
Rajasthan,251147,245553,250546,304394
Sikkim,1020,979,869,821
Tamil Nadu,467369,420876,499188,455094
Telangana,120273,133197,126858,131254
Tripura,4081,4238,6078,5988
Uttar Pradesh,494025,600082,585157,628578
Uttarakhand,16074,28861,34715,28268
West Bengal,204400,195537,188063,*****
